T t_cool t_int_cool 4PI_epsilon
1.52093669684234045203e-01 3.02047150961910653859e+06 4.94985633734906971455e+08 7.67769866049991344406e-26
1.52402082877315103726e-01 3.00215227433659462258e+06 4.91983481460570394993e+08 7.77164016185185758753e-26
1.52711121465903099104e-01 2.98394092439449857920e+06 4.88999540536175906658e+08 7.86673109715027441441e-26
1.53020786718165491269e-01 2.96585125072253448889e+06 4.86033689285453379154e+08 7.96298553048838103683e-26
1.53331079904841183215e-01 2.94785928169997036457e+06 4.83085830003753423691e+08 8.06041769804395003065e-26
1.53642002299245822305e-01 2.92998610431258985773e+06 4.80155843899440824986e+08 8.15904201018493091060e-26
1.53953555177277184862e-01 2.91221558898739563301e+06 4.77243628310453414917e+08 8.25887305360095429196e-26
1.54265739817420172164e-01 2.89455378856273042038e+06 4.74349074521890699863e+08 8.35992559346046045159e-26
1.54578557500752222786e-01 2.87699937532050721347e+06 4.71472075146570205688e+08 8.46221457559490099321e-26
1.54892009510948586160e-01 2.85955105342175578699e+06 4.68612524093148469925e+08 8.56575512870905508402e-26
1.55206097134287429595e-01 2.84220755813894793391e+06 4.65770316535009503365e+08 8.67056256661869200610e-26
1.55520821659655333891e-01 2.82496765510950190946e+06 4.62945348879899978638e+08 8.77665239051572351571e-26
1.55836184378552289331e-01 2.80783686555104237050e+06 4.60137512014348924160e+08 8.88404029126058313126e-26
1.56152186585097302318e-01 2.79080712508362811059e+06 4.57346704889265298843e+08 8.99274215170329942211e-26
1.56468829576033585660e-01 2.77388385337210353464e+06 4.54572821035893201828e+08 9.10277404903245514574e-26
1.56786114650733832132e-01 2.75705921018937928602e+06 4.51815761825703799725e+08 9.21415225715318706466e-26
1.57104043111205515793e-01 2.74033851461017271504e+06 4.49075423311093628407e+08 9.32689324909408409821e-26
1.57422616262096443096e-01 2.72372047288398118690e+06 4.46351702838209629059e+08 9.44101369944376900241e-26
1.57741835410699776654e-01 2.70720382232384523377e+06 4.43644499015885770321e+08 9.55653048681697761134e-26
