T t_cool t_int_cool 4PI_epsilon
1.12449752801281388503e-01 2.75600846070123352110e+07 4.85125691403100109100e+09 1.35005030905449530674e-32
1.12666263218670278934e-01 2.74043883041261322796e+07 4.82385252572687530518e+09 1.36557776364813906327e-32
1.12883190504568617363e-01 2.72495967175284847617e+07 4.79660292900934696198e+09 1.38128380541127478595e-32
1.13100535461613763144e-01 2.70956636014045067132e+07 4.76950726540794277191e+09 1.39717048834082627044e-32
1.13318298893988519960e-01 2.69426142808100767434e+07 4.74256465112713241577e+09 1.41323989005748667270e-32
1.13536481607424036278e-01 2.67904037933869063854e+07 4.71577424733374595642e+09 1.42949411207743739719e-32
1.13755084409202775197e-01 2.66390911929758489132e+07 4.68913515614076995850e+09 1.44593528008716270517e-32
1.13974108108161623076e-01 2.64885979172598607838e+07 4.66264655822350978851e+09 1.46256554422146076142e-32
1.14193553514694734474e-01 2.63389819199534393847e+07 4.63630757630355644226e+09 1.47938707934462593988e-32
1.14413421440756571390e-01 2.61901995651365108788e+07 4.61011737673841953278e+09 1.49640208533487081079e-32
1.14633712699865025764e-01 2.60422415064182356000e+07 4.58407513523200130463e+09 1.51361278737202612632e-32
1.14854428107104264423e-01 2.58951307884748615324e+07 4.55818000444352626801e+09 1.53102143622853741553e-32
1.15075568479127782195e-01 2.57488573932371623814e+07 4.53243114705028915405e+09 1.54863030856383591699e-32
1.15297134634161579925e-01 2.56034115332437381148e+07 4.50682773551704502106e+09 1.56644170722204361642e-32
1.15519127392006940025e-01 2.54587836463671997190e+07 4.48136895187067794800e+09 1.58445796153316702495e-32
1.15741547574043618374e-01 2.53149643907400257885e+07 4.45605398747993755341e+09 1.60268142761770525383e-32
1.15964396003232925181e-01 2.51719750272238291800e+07 4.43088201245271396637e+09 1.62111448869478678863e-32
1.16187673504120639323e-01 2.50297755609089992940e+07 4.40585223689180469513e+09 1.63975955539382593108e-32
1.16411380902840075335e-01 2.48883869930883720517e+07 4.38096384989871597290e+09 1.65861906606980236372e-32
1.16635519027115289181e-01 2.47477998121257089078e+07 4.35621605008658981323e+09 1.67769548712214303695e-32
1.16860088706263950953e-01 2.46080047253475263715e+07 4.33160804536124229431e+09 1.69699131331724524251e-32
1.17085090771200536763e-01 2.44689926541045755148e+07 4.30713905270713806152e+09 1.71650906811477662425e-32
1.17310526054439298593e-01 2.43307831012767702341e+07 4.28280826960586166382e+09 1.73625130399765660801e-32
1.17536395390097511693e-01 2.41933383840910643339e+07 4.25861493122177076340e+09 1.75622060280590481304e-32
1.17762699613898375040e-01 2.40566777789129540324e+07 4.23455825344285774231e+09 1.77641957607422151544e-32
1.17989439563174258740e-01 2.39207920802473872900e+07 4.21063746136261034012e+09 1.79685086537360806601e-32
1.18216616076869646124e-01 2.37856722945232763886e+07 4.18685178906808710098e+09 1.81751714265674837120e-32
1.18444229995544395018e-01 2.36513096353139542043e+07 4.16320047943277311325e+09 1.83842111060750011983e-32
1.18672282161376679843e-01 2.35176955185872763395e+07 4.13968278391418600082e+09 1.85956550299430389791e-32
1.18900773418166350037e-01 2.33848477478388212621e+07 4.11629793616634702682e+09 1.88095308502774009220e-32
1.19129704611337775000e-01 2.32527572367018014193e+07 4.09304517892964506149e+09 1.90258665372211945333e-32
1.19359076587943119252e-01 2.31214151079596839845e+07 4.06992376382168531418e+09 1.92446903826130109168e-32
1.19588890196665548205e-01 2.29907873823472000659e+07 4.04693297643933820724e+09 1.94660310036869630513e-32
1.19819146287822198005e-01 2.28609164874519482255e+07 4.02407205995188617706e+09 1.96899173468147411256e-32
1.20049845713367381306e-01 2.27317932821652814746e+07 4.00134026666972112656e+09 1.99163786912917403534e-32
1.20280989326895876301e-01 2.26033843827116265893e+07 3.97873688228700971603e+09 2.01454446531658134405e-32
1.20512577983645841062e-01 2.24757060729116350412e+07 3.95626117621409797668e+09 2.03771451891104102761e-32
1.20744612540502158082e-01 2.23487259189050383866e+07 3.93391245029519271851e+09 2.06115106003425920171e-32
1.20977093855999598415e-01 2.22224836552562490106e+07 3.91168996663993644714e+09 2.08485715365853694478e-32
1.21210022790325888664e-01 2.20969469617853462696e+07 3.88959301967815113068e+09 2.10883590000762869257e-32
1.21443400205324958385e-01 2.19721309749296233058e+07 3.86762088870322132111e+09 2.13309043496218085336e-32
1.21677226964500201367e-01 2.18480271327051669359e+07 3.84577286157051610947e+09 2.15762393046983959350e-32
1.21911503933017528745e-01 2.17246044983752779663e+07 3.82404825707214069366e+09 2.18243959496007021525e-32
1.22146231977708616401e-01 2.16018779847627319396e+07 3.80244637908737802505e+09 2.20754067376374067585e-32
1.22381411967074249514e-01 2.14798616604864336550e+07 3.78096651742689180374e+09 2.23293044953758282934e-32
1.22617044771287334037e-01 2.13585251536859236658e+07 3.75960799227320575714e+09 2.25861224269343642056e-32
1.22853131262196157980e-01 2.12378824066449813545e+07 3.73837010986656093597e+09 2.28458941183253091131e-32
1.23089672313327819220e-01 2.11179039217996969819e+07 3.71725220594476127625e+09 2.31086535418471919968e-32
1.23326668799891167594e-01 2.09986035094564519823e+07 3.69625360243530464172e+09 2.33744350605272755005e-32
1.23564121598780191080e-01 2.08799525181834474206e+07 3.67537364991712141037e+09 2.36432734326159224311e-32
1.23802031588577318710e-01 2.07620058180093988776e+07 3.65461164409911203384e+09 2.39152038161320467052e-32
1.24040399649556556949e-01 2.06448563565521314740e+07 3.63396678774255990982e+09 2.41902617734610910922e-32
1.24279226663686764853e-01 2.05280893372187390924e+07 3.61343869840534114838e+09 2.44684832760058875527e-32
1.24518513514634943107e-01 2.04121047059740275145e+07 3.59302659369936704636e+09 2.47499047088906081783e-32
1.24758261087769592446e-01 2.02968907145363762975e+07 3.57272970298483085632e+09 2.50345628757199935237e-32
1.24998470270163752893e-01 2.01822413465508632362e+07 3.55254746163827991486e+09 2.53224950033913869008e-32
1.25239141950598598108e-01 2.00681520218836404383e+07 3.53247930961639642715e+09 2.56137387469643259130e-32
1.25480277019566405228e-01 1.99548084051337018609e+07 3.51252450121126270294e+09 2.59083321945842810377e-32
1.25721876369274093710e-01 1.98421996407371722162e+07 3.49268230157052564621e+09 2.62063138724640910301e-32
1.25963940893646375585e-01 1.97301292831469476223e+07 3.47295217228737878799e+09 2.65077227499222658668e-32
1.26206471488329224906e-01 1.96185933083003498614e+07 3.45333357897907829285e+09 2.68125982444796680007e-32
1.26449469050692958616e-01 1.95077694226848296821e+07 3.43382580955639362335e+09 2.71209802270141230764e-32
1.26692934479835761508e-01 1.93976475918090417981e+07 3.41442816196458435059e+09 2.74329090269748814165e-32
1.26936868676586961380e-01 1.92880404818077981472e+07 3.39514012148277664185e+09 2.77484254376569850172e-32
1.27181272543510304196e-01 1.91791200799776241183e+07 3.37596100140279912949e+09 2.80675707215358027966e-32
1.27426146984907284754e-01 1.90707034430892504752e+07 3.35689029795970964432e+09 2.83903866156638853084e-32
1.27671492906820643887e-01 1.89629588205641135573e+07 3.33792733913914537430e+09 2.87169153371287211997e-32
1.27917311217037532600e-01 1.88558771450630091131e+07 3.31907146199408245087e+09 2.90471995885744333863e-32
