T t_cool t_int_cool 4PI_epsilon
1.15234753411040016791e-01 1.40743092383761286736e+08 2.31464758540788002014e+10 3.10489124591187546581e-34
1.15468424663283358855e-01 1.39892546645137101412e+08 2.30065833074336624146e+10 3.14281577111315054925e-34
1.15702569750481112920e-01 1.39046917861741483212e+08 2.28675363895719223022e+10 3.18120352132155863360e-34
1.15937189633468412664e-01 1.38206956435552448034e+08 2.27293294331363716125e+10 3.22006015453408038028e-34
1.16172285275028833174e-01 1.37371786352288186550e+08 2.25919576467840843201e+10 3.25939139785673081315e-34
1.16407857639898318358e-01 1.36541356767413794994e+08 2.24554162900166702271e+10 3.29920304834864706590e-34
1.16643907694768955707e-01 1.35716393449090838432e+08 2.23196998965675811768e+10 3.33950097387656313477e-34
1.16880436408293195139e-01 1.34896053866634398699e+08 2.21848038427009468079e+10 3.38029111397968959716e-34
1.17117444751087623755e-01 1.34081047882663071156e+08 2.20507227948182830811e+10 3.42157948074515310307e-34
1.17354933695737073673e-01 1.33270554646126210690e+08 2.19174522401721572876e+10 3.46337215969413462281e-34
1.17592904216798591066e-01 1.32465268424592569470e+08 2.17849869717475662231e+10 3.50567531067883474387e-34
1.17831357290805321947e-01 1.31664389456743881106e+08 2.16533225822908210754e+10 3.54849516879040457306e-34
1.18070293896270717138e-01 1.30869317636617958546e+08 2.15224532646542015076e+10 3.59183804527795343079e-34
1.18309715013692418051e-01 1.30077823188264563680e+08 2.13923754414659385681e+10 3.63571032847875949219e-34
1.18549621625556211857e-01 1.29292003443356633186e+08 2.12630834380225830078e+10 3.68011848475990104489e-34
1.18790014716340264211e-01 1.28511073643641024828e+08 2.11345723643789405823e+10 3.72506905947134813419e-34
1.19030895272519046668e-01 1.27734284739927783608e+08 2.10068380796390113831e+10 3.77056867791069035675e-34
1.19272264282567291849e-01 1.26962279244016706944e+08 2.08798758003949928284e+10 3.81662404629966801084e-34
1.19514122736964253924e-01 1.26194997514919802547e+08 2.07536808028800735474e+10 3.86324195277263788936e-34
1.19756471628197580515e-01 1.25432381345933765173e+08 2.06282484215341415405e+10 3.91042926837708276454e-34
1.19999311950767531543e-01 1.24674373930538818240e+08 2.05035740476036033630e+10 3.95819294808639335288e-34
1.20242644701191003787e-01 1.23920919828735277057e+08 2.03796531277748680115e+10 4.00654003182493387900e-34
1.20486470878005527685e-01 1.23171964934171855450e+08 2.02564811628406944275e+10 4.05547764550573292474e-34
1.20730791481773583329e-01 1.22427456442142933607e+08 2.01340537063985519409e+10 4.10501300208076364156e-34
1.20975607515086444610e-01 1.21687965999043658376e+08 2.00123657403995094299e+10 4.15515340260411909035e-34
1.21220919982568509088e-01 1.20952189427120074630e+08 1.98914135509723892212e+10 4.20590623730812205199e-34
1.21466729890881350307e-01 1.20221316663868039846e+08 1.97711922343085212708e+10 4.25727898669260280117e-34
1.21713038248727728474e-01 1.19495277782608136535e+08 1.96516969565259132385e+10 4.30927922262749879484e-34
