T t_cool t_int_cool 4PI_epsilon
1.22703276421182949640e-01 1.58464116666180849075e+08 2.66986066307581977844e+10 1.21257766774699610630e-32
1.22952092228975115584e-01 1.57529713005309760571e+08 2.65410769177528877258e+10 1.22721128751677559955e-32
1.23201412581617361641e-01 1.56600376757952034473e+08 2.63844765409949340820e+10 1.24202150789242274285e-32
1.23451238502217994220e-01 1.55676056558808267117e+08 2.62288004844361267090e+10 1.25701046010809057379e-32
1.23701571015959813082e-01 1.54757443577535778284e+08 2.60740430408585891724e+10 1.27218030111790441045e-32
1.23952411150104649384e-01 1.53844462419980287552e+08 2.59201985784386100769e+10 1.28753321390635616663e-32
1.24203759933997237574e-01 1.52937039521513611078e+08 2.57672615389170951843e+10 1.30307140780241210810e-32
1.24455618399069697921e-01 1.52035103104428231716e+08 2.56152264358126678467e+10 1.31879711879749265370e-32
1.24707987578845699850e-01 1.51137876590048938990e+08 2.54640885592226181030e+10 1.33471260986720338681e-32
1.24960868508944555888e-01 1.50246015044378459454e+08 2.53138425441782379150e+10 1.35082017129699408154e-32
1.25214262227085704193e-01 1.49360141295527100563e+08 2.51644824028827095032e+10 1.36712212101175039643e-32
1.25468169773092830255e-01 1.48478802186655163765e+08 2.50160036006960525513e+10 1.38362080490932699377e-32
1.25722592188898057985e-01 1.47602632087077379227e+08 2.48684009686089744568e+10 1.40031859719817288838e-32
1.25977530518546543270e-01 1.46732234210431337357e+08 2.47216687343985443115e+10 1.41721790073895159169e-32
1.26232985808200248723e-01 1.45866209110682219267e+08 2.45758025252878608704e+10 1.43432114739032710826e-32
1.26488959106142800914e-01 1.45005820661682486534e+08 2.44307967046261787415e+10 1.45163079835894069044e-32
1.26745451462783376151e-01 1.44150345965987533331e+08 2.42866463586601905823e+10 1.46914934455357342484e-32
1.27002463930661113611e-01 1.43299728942310869694e+08 2.41433466297178802490e+10 1.48687930694358578971e-32
1.27259997564449667262e-01 1.42454541553563356400e+08 2.40008920881643180847e+10 1.50482323692172340654e-32
1.27518053420961091637e-01 1.41614088802357673645e+08 2.38592779993619613647e+10 1.52298371667124875330e-32
